,Network diameter,Avg degree,Avg path lenth,Edge density,Transitivity,Homophily
Phase 1,4.0,2.4,2.0285714285714285,0.17142857142857143,0.1111111111111111,-0.6476552598225603
Phase 2,4.0,2.3333333333333335,2.181159420289855,0.10144927536231885,0.047619047619047616,-0.5702005730659028
Phase 3,4.0,3.393939393939394,2.1306818181818183,0.10606060606060606,0.15625,-0.4324426328502414
Phase 4,5.0,2.909090909090909,2.393939393939394,0.09090909090909091,0.13753581661891118,-0.4446941714519852
Phase 5,4.0,2.4375,2.3649193548387095,0.07862903225806452,0.09375,-0.5133969818293806
