Index,Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 6,Phase 7,Phase 8,Phase 9,Phase 10,Phase 11
1,0.01181047780487149,0.00026855688107281733,0.0031526342538791357,0.002160547769598052,0.0005813636360600073,0.8054190589033386,0.727422340775408,0.0020381015069320537,0.01615691554880724,2.9707890111722625e-10,9.824173262777098e-07
4,0.03197907645686029,0.0,0.0,0.0038762142898690084,0.03726530227420346,0.00012821033205772192,0.00015113069284020228,0.012177566673945667,0.0,3.040420246319395e-11,0.0
89,0.13164235709007543,0.06521969386828029,0.0359880521647314,0.046562525762521546,0.02488910341119844,0.0,0.0,0.0,0.002294967325101244,0.0,0.0
83,0.0,0.08695959182437372,0.19626729992816627,0.06665036107820851,0.024932747925102784,0.004649185894855684,0.030762369087723708,0.012177566673945667,0.029024133993793805,1.216168098527758e-10,0.0
3,0.13571432632468267,0.3367043789897035,0.14956509511984234,0.2754662556548309,0.3235857312883268,0.032090039862432376,0.006894123844538096,0.4671711455221576,0.06749387290509404,9.121260738958187e-11,0.0
5,0.06395815291372058,0.05430715790156508,0.03599733452198174,0.062019428637904134,0.037298667317222464,0.001794944648808107,0.00045339207852060684,0.0,0.0,0.0,0.0
88,0.06868627012390571,0.010904051991370553,0.0,0.02770874823013978,0.000580997802735759,0.0,0.008078892154371494,0.0,0.0,0.0,1.0429641316286445e-07
85,0.31120574960346714,0.0,0.05796440867272932,0.1755907755603471,0.22379200390333479,0.005901372398520905,0.030798086169510096,0.07357792402491058,0.08333063962296929,1.9973465383158575e-10,2.2178861404402893e-05
90,0.03197907645686029,0.032584294740939046,0.010488452767970382,0.0038762142898690084,0.0,0.0,0.0,0.0,0.002294967325101244,0.0,0.0
2,0.06395815291372058,0.07603002106219112,0.04112920247397875,0.062019428637904134,0.03726530227420346,0.0010256826564617753,0.008378405980947214,0.024358763098619843,0.002294967325101244,0.0,0.0
7,0.0002677687307183736,1.6530676304907e-10,0.005142476360283106,1.5566670141410302e-06,0.0,0.0,0.0,0.0,0.002294967325101244,0.0,0.0
