OffenderID,E Centrality,#ofCrimes
332188,0.08427118937954504,3
395620,0.08415256761729924,2
331548,0.08413204025294857,2
209433,0.08407343034548205,3
544851,0.08406885000775635,12
132767,0.08405720944642323,3
489127,0.08405720944642321,7
80738,0.08405334796517425,1
299698,0.08405334796517425,1
214508,0.08405334796517425,1
81125,0.08405334796517425,1
342775,0.08405334796517425,4
127655,0.08405334796517425,4
215950,0.08405334796517425,1
174761,0.08405334796517425,1
174801,0.08405334796517425,1
218885,0.08405334796517425,2
86429,0.08405334796517425,2
304950,0.08405334796517425,1
305309,0.08405334796517425,1
391183,0.08405334796517425,12
265184,0.08405334796517425,1
265358,0.08405334796517425,1
307689,0.08405334796517425,1
222586,0.08405334796517425,1
265695,0.08405334796517425,3
135412,0.08405334796517425,1
223757,0.08405334796517425,1
351872,0.08405334796517425,5
137513,0.08405334796517425,2
268004,0.08405334796517425,2
225205,0.08405334796517425,3
93453,0.08405334796517425,1
47053,0.08405334796517425,1
226893,0.08405334796517425,1
184697,0.08405334796517425,1
313614,0.08405334796517425,1
229519,0.08405334796517425,1
272472,0.08405334796517423,1
142648,0.08405334796517423,1
315749,0.08405334796517423,1
230881,0.08405334796517423,1
51795,0.08405334796517423,1
188275,0.08405334796517423,1
144144,0.08405334796517423,2
99208,0.08405334796517423,1
144680,0.08405334796517423,1
275494,0.08405334796517423,1
189996,0.08405334796517423,1
360912,0.08405334796517423,1
191049,0.08405334796517423,1
319288,0.08405334796517423,1
362023,0.08405334796517423,5
56003,0.08405334796517423,1
192132,0.08405334796517423,1
103245,0.08405334796517423,1
363162,0.08405334796517423,1
364285,0.08405334796517423,1
279840,0.08405334796517423,1
280161,0.08405334796517423,1
106153,0.08405334796517423,1
195956,0.08405334796517423,1
107605,0.08405334796517423,1
283379,0.08405334796517423,1
283704,0.08405334796517423,1
109592,0.08405334796517423,2
199104,0.08405334796517423,2
286454,0.08405334796517423,3
112365,0.08405334796517423,1
286486,0.08405334796517423,1
201046,0.08405334796517423,1
331582,0.08405334796517423,1
247399,0.08405334796517423,3
248494,0.08405334796517423,1
117433,0.08405334796517423,1
73344,0.08405334796517423,1
163928,0.08405334796517423,1
74544,0.08405334796517423,1
251702,0.08405334796517423,1
165708,0.08405334796517423,1
76480,0.08405334796517423,1
122599,0.08405334796517423,1
253685,0.08405334796517423,2
253788,0.08405334796517423,1
211704,0.08405334796517423,1
382137,0.08405334796517423,1
124467,0.08405334796517423,1
169065,0.08405334796517423,2
169416,0.08405334796517423,1
213208,0.08405334796517423,1
125306,0.08405334796517423,1
169648,0.08405334796517423,1
112701,0.08397720101255096,4
94201,0.083775523131422,3
337421,0.08359929711845951,2
413646,0.08350856953021527,7
412174,0.0834969295341849,6
399859,0.0834893870891522,2
316874,0.0834893870891522,7
176280,0.0834893870891522,2
399490,0.0834893870891522,3
376519,0.08313878829913114,2
314957,0.07333220893330221,4
319882,0.07333220893330221,2
277700,0.07333220893330221,4
201580,0.07333220893330221,3
460918,0.07333220893330221,2
292956,0.07333220893330221,2
336400,0.07333220893330221,2
76062,0.07333220893330221,2
541404,0.07333220893330221,3
77858,0.07333220893330221,2
125176,0.07333220893330221,2
299097,0.07333220893330221,3
127737,0.07333220893330221,3
218332,0.07333220893330221,7
347818,0.07333220893330221,3
263464,0.07333220893330221,2
177716,0.07333220893330221,2
221435,0.07333220893330221,2
182202,0.07333220893330221,2
93334,0.07333220893330221,3
185311,0.07333220893330221,2
187919,0.07325691557669968,3
110516,0.07325691557669968,3
450815,0.07295474938099572,8
111811,0.07055833415173464,3
250291,0.07054132674555325,9
289878,0.0705413264437118,5
185496,0.0705413264437118,3
142993,0.07053806382632158,2
58110,0.07053806382632158,2
61468,0.07053806382632158,3
61738,0.07053806382632158,2
325289,0.07053806382632158,4
240306,0.07053806382632158,2
62447,0.07053806382632158,2
63212,0.07053806382632158,2
241914,0.07053806382632158,3
111038,0.07053806382632158,4
413922,0.07053806382632158,3
329118,0.07053806382632158,2
67039,0.07053806382632158,3
67064,0.07053806382632158,3
67268,0.07053806382632158,2
119357,0.07053806382632158,2
209828,0.07053806382632158,2
255330,0.07053806382632158,2
300523,0.07053806382632158,2
258759,0.07053806382632158,4
348612,0.07053806382632158,3
264337,0.07053806382632158,2
139489,0.07053806382632158,2
140823,0.07053806382632158,2
174156,0.07000404223872547,3
222404,0.07000404223872547,3
107745,0.014582790448818387,1
204435,0.014582790448818387,1
222580,0.014582790448818387,1
532173,0.012553193479874948,5
459171,0.012553193479874948,3
331543,0.012553193479874948,1
289802,0.012553193479874948,2
516541,0.012553193479874948,1
135425,0.012553193479874948,1
482574,0.012553193479874948,1
351837,0.011071217927346512,8
527855,0.0018170169408237978,2
433270,0.0015386502313334436,5
341216,0.001538508864070846,3
439080,0.001538508864070846,8
193142,0.0012739709760304376,5
414775,0.001273846536058608,5
110711,0.0012737286918202498,5
107271,0.0012737286750050389,6
270459,0.001273670161534314,1
228572,0.001273670161534314,1
356503,0.001273670161534314,1
315732,0.0012736701615343139,1
189891,0.0012736701615343139,4
101003,0.0012736701615343139,1
276248,0.0012736701615343139,1
195939,0.0012736701615343139,1
152205,0.0012736701615343139,2
367198,0.0012736701615343139,1
197058,0.0012736701615343139,2
454211,0.0012736701615343139,7
371115,0.0012736701615343139,1
164185,0.0012736701615343139,4
207850,0.0012736701615343139,1
126382,0.0012736701615343139,1
90246,0.0012736701615343139,2
267411,0.0012736701615343139,1
181515,0.0012736701615343139,2
331210,0.0012651243969245233,6
80495,0.0012651243969245233,3
323912,0.001245222428080447,3
229855,0.0012451652239560084,1
315079,0.0012451652239560084,1
99449,0.0012451652239560084,1
60066,0.0012451652239560084,1
328886,0.0012451652239560084,1
460644,0.0012451652239560084,2
119172,0.0012451652239560084,1
382223,0.0012451652239560082,5
78914,0.0012451652239560082,1
259914,0.0012451652239560082,7
304848,0.0012451652239560082,1
459601,0.0011357742955962554,1
275126,0.0009427840962458254,5
237614,0.0009426505121218183,16
31928,0.0009426505120590938,5
156146,0.0009426505120590002,4
110828,0.0009426505100528292,3
467944,0.0009426505080464686,3
144787,0.0009426505080464685,6
238655,0.0009426505080464685,3
50705,0.0009426071945872891,1
98926,0.0009426071945872891,1
144872,0.0009426071945872891,11
275079,0.0009426071945872891,1
100208,0.0009426071945872891,4
276774,0.0009426071945872891,1
234485,0.0009426071945872891,2
450002,0.0009426071945872891,1
238389,0.0009426071945872891,3
281064,0.0009426071945872891,3
408957,0.0009426071945872891,1
107015,0.0009426071945872891,1
324714,0.0009426071945872891,1
566158,0.0009426071945872891,4
15796,0.0009426071945872891,1
156434,0.0009426071945872891,2
286729,0.0009426071945872891,1
158062,0.0009426071945872891,1
499545,0.0009426071945872891,1
463778,0.0009426071945872891,2
124360,0.0009426071945872891,1
79007,0.0009426071945872891,1
