OffenderID,B Centrality,#ofCrimes
581980,0.20976478557264414,19
560300,0.18869363868791983,27
551304,0.147225427915525,27
494459,0.13628628165324463,10
457352,0.12010109580649653,67
573726,0.11352792460108653,20
96348,0.11141382919503731,5
593471,0.11092420913476939,9
618154,0.11003223657658459,8
614370,0.10449639156835314,18
604319,0.10434174715669194,19
612718,0.10249908460557687,28
332188,0.10112165209939748,3
392890,0.09763231305926365,23
528261,0.09507791999559427,18
352013,0.0934904086013197,17
526593,0.09197580056011052,33
422842,0.09003586241243014,14
596990,0.087098916965529,9
464598,0.08263990471163324,17
490838,0.0823939535531653,12
544851,0.08127148292068596,12
399301,0.08121156087110966,6
508787,0.08115236930908346,9
590629,0.07849093685882044,4
640741,0.07780471502068263,30
581257,0.07321679677063425,23
420053,0.072886360718184,68
356124,0.07111172848469087,25
626918,0.06890361286302946,25
594280,0.06687200108604699,21
620800,0.06614759255375134,49
331548,0.06580432767135261,2
650449,0.06509422414518021,6
569034,0.06228142310362478,30
586024,0.05955346511179809,8
619020,0.0592124283194082,9
582336,0.05695455221205865,38
578882,0.05666525147127225,17
531783,0.05483965470496667,17
518930,0.054583592293273475,52
596880,0.0545098523790373,12
618113,0.0541414083613154,15
634430,0.05365005500865934,11
451030,0.053620554748793195,32
582631,0.05355967772437726,15
629008,0.05350815765436501,18
539970,0.053253233186024825,64
112701,0.05324654780330963,4
643790,0.053136751155901656,34
630304,0.053035263253743324,1
483785,0.05275167256792965,16
169472,0.05179402776665734,4
568882,0.05179090450544563,4
398809,0.05116450252703281,16
142302,0.0505042194043772,18
550356,0.050128624327896214,11
480595,0.05002783269361702,57
232299,0.0498094005460229,22
528314,0.049502796365626725,35
417513,0.04941281790040648,52
630371,0.049258734483238045,41
651874,0.04769001933618442,32
538889,0.047261727567029746,25
563431,0.04718723471813932,15
627701,0.04704054014069145,37
545640,0.04664064582060209,11
137816,0.04663372352656263,10
372115,0.046483996549891146,6
623775,0.04621475199920317,34
585530,0.0461909420421695,9
650638,0.045639185843881276,33
510478,0.04549517328500524,29
655218,0.04548637330848739,2
638714,0.04542730533347807,22
578763,0.044243490338745854,40
493414,0.04391162152872633,29
374647,0.04373591397402022,75
582447,0.04347685700092034,21
582261,0.04342377385468459,10
523204,0.04338597003301785,37
417978,0.04310242922344966,20
524707,0.043023134861516765,4
587211,0.04290292260998825,19
